,,,,,,,
,,,,,,,
,Categoría,Descripción,Proveedor,Enlace,Precio,Unidades,Precio/Ud
,Sensores,IMU Absoluto Odometria BNO085,AliExpress,https://a.aliexpress.com/_EvyNRIY,"15,29 €",1,"15,29 €"
,Sensores,IMU Absoluto Odometria BNO085,Mouser Electronics,https://www.mouser.es/ProductDetail/Adafruit/4754?qs=hd1VzrDQEGjjfej09NGRTw%3D%3D,"21,46 €",1,"21,46 €"
,Sensores,Voltaje y Corriente INA226 20A,AliExpress,https://a.aliexpress.com/_EHHc2bQ,"2,99 €",1,"2,99 €"
,Sensores,Voltaje y Corriente INA226 20A,Mouser Electronics,https://www.mouser.es/ProductDetail/Tinkerforge/2105?qs=T8HDo%252BTk69WoIYsaxrzsmw%3D%3D,"16,51 €",1,"16,51 €"
,Sensores,Waveshare D300 LD19P,AliExpress,https://es.aliexpress.com/item/1005008606058253.html?spm=a2g0o.cart.0.0.2e437a9dPJt0Eu&mp=1&pdp_npi=6%40dis%21EUR%21EUR%2056.69%21EUR%2056.69%21%21EUR%2056.69%21%21%21%40211b876e17698089523275321e806b%2112000045926099012%21ct%21ES%21727181518%21%211%210%21&gatewayAdapt=glo2esp,"56,69 €",1,"56,69 €"
,Sensores,ICM 42688 IMU,AliExpress,"https://es.aliexpress.com/item/1005010500159119.html?spm=a2g0o.detail.pcDetailTopMoreOtherSeller.4.6bc6Rv0fRv0f7V&gps-id=pcDetailTopMoreOtherSeller&scm=1007.40050.354490.0&scm_id=1007.40050.354490.0&scm-url=1007.40050.354490.0&pvid=f624ccbe-a7bb-4148-9ff8-5dd10760d7de&_t=gps-id:pcDetailTopMoreOtherSeller,scm-url:1007.40050.354490.0,pvid:f624ccbe-a7bb-4148-9ff8-5dd10760d7de,tpp_buckets:668%232846%238107%231934&pdp_ext_f=%7B%22order%22%3A%2218%22%2C%22spu_best_type%22%3A%22order%22%2C%22eval%22%3A%221%22%2C%22sceneId%22%3A%2230050%22%2C%22fromPage%22%3A%22recommend%22%7D&pdp_npi=6%40dis%21EUR%2110.95%216.79%21%21%2188.52%2154.89%21%402103835c17698050338571936ef6f9%2112000052604049365%21rec%21ES%21727181518%21X%211%210%21n_tag%3A-29919%3Bd%3A9f310ff5%3Bm03_new_user%3A-29895&utparam-url=scene%3ApcDetailTopMoreOtherSeller%7Cquery_from%3A%7Cx_object_id%3A1005010500159119%7C_p_origin_prod%3A","6,76 €",1,"6,76 €"
,Sensores,RPLIDAR C1,AliExpress,https://es.aliexpress.com/item/1005006190309082.html?spm=a2g0o.productlist.main.1.2d1fNegVNegVYv&algo_pvid=b0eb8b43-b282-4291-b19c-dafb2a9f6134&algo_exp_id=b0eb8b43-b282-4291-b19c-dafb2a9f6134-0&pdp_ext_f=%7B%22order%22%3A%2283%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21EUR%2173.32%2165.99%21%21%2185.34%2176.81%21%402103847817698056559512464e8e9e%2112000038572470618%21sea%21ES%21727181518%21X%211%210%21n_tag%3A-29919%3Bd%3A9f310ff5%3Bm03_new_user%3A-29895&curPageLogUid=U7NA4Wdh3SLZ&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006190309082%7C_p_origin_prod%3A#nav-description,"65,99 €",1,"65,99 €"
,Sensores,RPLIDAR C1,Mouser Electronics,https://www.mouser.es/ProductDetail/DFRobot/DFR1138?qs=HFfMDpzxxd1gcZ03rGcZCg%3D%3D,"62,61 €",1,"62,61 €"
,Modulos Electronica,Convertidor Buck XL4015 5A,AliExpress,https://a.aliexpress.com/_EGcOWak,"2,09 €",2,"1,05 €"
,Modulos Electronica,Convertidor Buck XL4015 5A Disipador,AliExpress,https://es.aliexpress.com/item/1005008778673117.html?spm=a2g0o.cart.0.0.419c7a9dZsYgPG&mp=1&pdp_npi=6%40dis%21EUR%21EUR%2012.48%21EUR%205.99%21%21EUR%205.64%21%21%21%40211b819117673817266745200ef158%2112000046630877977%21ct%21ES%21727181518%21%211%210%21&gatewayAdapt=glo2esp,"5,99 €",5,"1,20 €"
